"registration_id","hacker_id","username","nickname","github_raw","registered_at"
174482,323935,"linoxbt","lino","linoxbt",1784132601
174483,342636,"U_98edff7f0138c2","Mofifoluwa-ade","Mofifoluwa-ade",1784132907
174497,342662,"Intmian404","intmian","",1784168269
174498,142028,"U_de4536cd009978","MarxMad","MarxMad",1784170350
174504,215957,"NiftyBruh","NiftyBruh","",1784185737
174508,213152,"U_238dcb4c4c79d7","emmatheo","emmatheo",1784199992
174511,241385,"Sasha_bey","Sasha_bey","Sandijigs",1784206598
174514,286814,"U_d2bdc24e9f325f","BlaiseSegal","BlaiseSegal",1784219343
174515,333097,"U_a2018624ec3c","darealbirdie","darealbirdie",1784219917
174517,338647,"tejas69","tejas0111","tejas0111",1784223838
174523,12895,"U_776df357fc661d","lucylow","",1784242307
174524,237547,"U_a1b76140f42217","Hari","hari-hara-sudharsan",1784251585
174529,236162,"jeevan","Jovan","",1784256514
174531,342742,"U_e03887be9a44c2","Dasika-Vaishnavi","Dasika-Vaishnavi",1784258532
174535,338803,"Lukeknow0","Lukeknow0","Lukeknow0",1784265479
174542,226377,"jameshoang","James Hoang","BunnyTeddy",1784275433
174543,340223,"tamerrarda","tamerrarda","tamerrarda",1784275727
174548,62871,"mrsufferer","sufferer","MrSufferer",1784282157
174550,325992,"U_c2072d1f75bc69","hacker8992687","Cubiczan",1784288315
174552,329891,"U_598b7caf022a85","hacker1194a29","johnboscoE",1784288914
174557,342771,"U_642ea539a2f3ce","Ayush24katiyar","Ayush24katiyar",1784296769
174563,303168,"flemingjohn","Fleming John","FlemingJohn",1784301225
174564,226212,"alienworld","alienworld","alienworld1",1784303242
174568,338904,"Ace-mich1357","Ace-Mich","Amoran1357",1784305013
174578,277842,"jay_gatsby","Jay Gatsby","jayasaisrikar",1784321264
174585,254373,"U_c91dfe5b7272a7","Azz","amantajatii",1784345801
174602,289588,"prime","prime","prime1999",1784356796
174608,338774,"ives","Ives","ChiJian28",1784365219
174613,50477,"supreme","supreme2580","supreme2580",1784370582
174623,342824,"U_9c3d65d1bcecbf","pandaer119","pandaer119",1784385070
174626,342826,"U_2de1dbc9d52d74","YingchenWang999","YingchenWang999",1784388321
174653,342842,"U_79bf41f11beabd","Hugegreencandle","Hugegreencandle",1784430888
174656,178324,"utsam","utsam","Utitofon-Udoekong",1784445917
174667,333232,"Bill","Bill","iwbinb",1784463097
174670,336323,"OzBJ","Bj","bolajiev",1784467806
174674,97992,"U_c9e6d3f798caf","pisuthd","pisuthd",1784470734
174683,279654,"pextacy","Mert Marangoz","pextacy",1784485122
174696,183988,"PugarHuda","Pugar Huda Mantoro","PugarHuda",1784524933
174707,310431,"U_d3ae10b52668dd","Venkat5599","Venkat5599",1784545451
174709,198521,"DoctorIB","AdemFi","DIFoundation",1784548451
174711,321253,"U_df18d38cf14afe","Subheeksh","subheeksh5599",1784549639
174714,342177,"U_edd018189fe05e","JohnLu","jnhualu-art",1784555070
174718,207050,"U_d72814af1fa7ef","hacker6b265d8","",1784556495
174733,334491,"Yutie29","Utsav","",1784576897
174734,342971,"bashrian","hacker4982278","bashrian",1784576951
174736,342972,"U_e1f7e8f6e7e37a","Xenofic","Xenofic",1784577563
174737,334617,"U_77f97e03dcc96d","Varun5711","Varun5711",1784577569
174750,122467,"Crypt","Cryptbits","Cryptbits",1784591173
174754,322932,"U_1fb70caece45f6","hacker235a92d","Bsh54",1784597566
174767,181575,"ege_software","ege__software","egekoca",1784616326
174774,330458,"Olu_27","Olu","",1784620606
174775,237548,"abhijeethvn","ABHIJEETH V N","ABHIJEETH-V-N",1784621411
174778,342896,"echorura_music","ECHORURA","echorura",1784626467
174781,299651,"pratikshirodkar","Pratik Shirodkar","Pratik-Shirodkar",1784627131
174782,343015,"cavok","CAVOK","",1784627599
174799,324882,"U_bc853c4e4fea65","hacker44e3e4c","SamyaDeb",1784655555
174802,228731,"U_0bec84d683f4b","MAN$I VERMA","mansiverma897993",1784661064
174814,341302,"shayan","Shayan","ShawnAlisson",1784675892
174819,285164,"ChrisNCreation","ChrisNCreation","ChrisNCreations",1784678990
174839,111094,"U_bb13193a739795","Greedyworld","GreedyWorld",1784688427
174840,146596,"Sharma","Sharma","TeSharma",1784688427
174841,151165,"U_abce01cab87ea2","OVER-CODER","",1784688427
174842,150738,"U_94f0e4494ea8fd","shivamani-yamana","",1784688427
174843,138315,"sraibaby","sraibaby","gradoally",1784688427
174844,148445,"U_7f905b2953f3a4","Zhenik81","",1784688427
174845,141434,"U_834c1bdc9988b2","hacker5b776c8","Vire1886",1784688427
174846,147020,"U_cbaeb7dafe78f0","hacker74d5a4b","",1784688428
174847,144821,"U_880953470dfc5d","Hamidu46","",1784688428
174848,144287,"U_fd7456691ad0ef","hacker8609950","",1784688428
174849,139264,"U_52208b87f6930e","hacker8cdc84b","",1784688428
174850,35975,"Amberbuchtela","Abuchtela U_1d212221932a06","Abuchtela",1784688428
174851,252631,"Albary","Albary","EndPx",1784689206
174854,237541,"devnarayanan0","devash","devnarayanan0",1784691282
174855,237610,"U_7ed509c681de6","B Lakshmi Narayanan","",1784691282
174856,237612,"derp-g","Pavan S","Pavan03062006",1784691282
174870,325983,"Meedex","Ultraviolet","Ultraviolet",1784700534
174873,201731,"chain_oracle","Blockchain-Oracle","Blockchain-Oracle",1784701368
174883,326252,"edycutjong","Edy Cu","edycutjong",1784715365
174887,342968,"U_3e4182fc3cecb3","hacker88139e7","Ifechukwudaniel",1784718762
174888,342900,"U_e191ac892cdf6","hacker802ea17","FeeeeelixWong",1784719317
174889,332488,"NoBanksNearby","NoBanks Nearby","NoBanks",1784720125
174903,341852,"Aran","Aranaveng","AranAveng",1784730415
174905,254199,"chandan_989","chandan","",1784731870
174907,253542,"blvckNinja767","BLVCKNINJA999","JUICEWRLD998",1784732850
174910,175540,"steindigga","Stein","Stoneybro",1784734288
174913,301609,"minh00plus","MinhLeDaDen","minhleeee123",1784736747
174924,175878,"U_eb8895d6e95d98","hacker501b1d9","",1784752459
174930,342820,"U_535d4f7679bf65","Dicky Nu","",1784760508
174944,338558,"Artjom","Artjom","",1784790049
174947,329306,"x0Eunum","Muzammil Quraishi","0xEunum",1784790676
174952,315720,"onlinearcher","Onlinearcher","stanleykosi",1784794229
174954,343163,"U_1f60a3c669f5a6","AnubisCrypto666","AnubisCrypto666",1784794852
174959,332669,"rayyer","rayyer","RaYYeR220",1784800232
174973,343208,"U_dfcefb40d6b7f4","pplmaverick","pplmaverick",1784820844
174979,322666,"JadedOne","Jay","Jaydearcadian",1784825116
174988,340839,"Cipoklean","David","cipoklean",1784833458
174995,343226,"SolarDePin","Solar DePin","SolarDePinHub",1784834260
174999,327978,"Benita","0xbeni","Benita2001",1784835739
175004,343241,"FeltonMuggs","FeltonMuggs","FeltonMuggs",1784865710
175005,304023,"satvik_svg","Satvik_Srivastava","satvik-svg",1784866733
175006,210940,"aaditya_s3301","hackie","aaditya3301",1784867059
175011,341097,"cypherlon","mzterwalexzyy","mzterwalexzyy",1784873166
